question_concept_id,question,answer_concept_id,answer
43528801,Are you currently prescribed medications and/or receiving treatment for bowel obstruction?,43529435,Are you currently prescribed medications and/or receiving treatment for bowel obstruction? - No
1384552,About how old were you when you were first told you had dengue fever?,1385439,About how old were you when you were first told you had dengue fever? - Child (0-11)
1384554,About how old were you when you were first told you had astigmatism?,1385032,About how old were you when you were first told you had astigmatism? - Child (0-11)
43528563,Have you or anyone in your family ever been diagnosed with the following heart and blood conditions? Think only of the people you are related to by blood. Select all that apply.,1740724,Have you or anyone in your family ever been diagnosed with the following heart and blood conditions? Think only of the people you are related to by blood. - Sickle cell disease
43528828,Are you currently prescribed medications and/or receiving treatment for nearsightedness?,43530188,Are you currently prescribed medications and/or receiving treatment for nearsightedness? - Yes
1740668,"Including yourself, who in your family has had obesity? Select all that apply.",43529594,"Including yourself, who in your family has had obesity? - Self"
1740675,"Including yourself, who in your family has had astigmatism? Select all that apply.",1740907,"Including yourself, who in your family has had astigmatism? - Sibling"
1740677,"Including yourself, who in your family has had transient ischemic attacks (TIAs or mini-strokes)? Select all that apply.",1740889,"Including yourself, who in your family has had transient ischemic attacks (TIAs or mini-strokes)? - Sibling"
43528838,Are you currently prescribed medications and/or receiving treatment for kidney disease without dialysis?,43529484,Are you currently prescribed medications and/or receiving treatment for kidney disease without dialysis? - No
43530374,Are you still seeing a doctor or health care provider for narcolepsy?,43529394,Are you still seeing a doctor or health care provider for narcolepsy? - No
43528839,Are you currently prescribed medications and/or receiving treatment for attention-deficit/hyperactivity disorder (ADHD)?,43529420,Are you currently prescribed medications and/or receiving treatment for attention-deficit/hyperactivity disorder (ADHD)? - No
43528839,Are you currently prescribed medications and/or receiving treatment for attention-deficit/hyperactivity disorder (ADHD)?,43530114,Are you currently prescribed medications and/or receiving treatment for attention-deficit/hyperactivity disorder (ADHD)? - Yes
1740679,"Including yourself, who in your family has had fractured/broken bones in the last five years? Select all that apply.",1740709,"Including yourself, who in your family has had fractured/broken bones in the last five years? - Mother"
43530383,Are you still seeing a doctor or health care provider for an enlarged prostate?,43529344,Are you still seeing a doctor or health care provider for an enlarged prostate? - No
43528852,"Are you currently prescribed medications and/or receiving treatment for dementia (includes Alzheimer's, vascular, etc.)?",43529450,"Are you currently prescribed medications and/or receiving treatment for dementia (includes Alzheimer's, vascular, etc.)? - No"
43528854,Are you currently prescribed medications and/or receiving treatment for insomnia?,43530172,Are you currently prescribed medications and/or receiving treatment for insomnia? - Yes
43528860,Are you currently prescribed medications and/or receiving treatment for neuropathy?,43530190,Are you currently prescribed medications and/or receiving treatment for neuropathy? - Yes
1384611,About how old were you when you were first told you had osteoarthritis?,1385137,About how old were you when you were first told you had osteoarthritis? - Child (0-11)
836780,"Including yourself, who in your family has had prostate cancer? Select all that apply.",43529739,"Including yourself, who in your family has had prostate cancer? - Son"
836783,"Including yourself, who in your family has had thyroid cancer? Select all that apply.",43529913,"Including yourself, who in your family has had thyroid cancer? - Grandparent"
836785,"Including yourself, who in your family has had congestive heart failure? Select all that apply.",43528583,"Including yourself, who in your family has had congestive heart failure? - Grandparent"
836788,"Including yourself, who in your family has had sickle cell disease? Select all that apply.",43529797,"Including yourself, who in your family has had sickle cell disease? - Daughter"
836790,Who in your family has had sudden death? Select all that apply.,43530582,Who in your family has had sudden death? - Mother
836791,"Including yourself, who in your family has had allergies? Select all that apply.",43528378,"Including yourself, who in your family has had allergies? - Daughter"
43528634,Have you or anyone in your family ever been diagnosed with the following digestive conditions? Think only of the people you are related to by blood. Select all that apply.,836755,Have you or anyone in your family ever been diagnosed with the following digestive conditions? Think only of the people you are related to by blood. - Colon polyps
43528634,Have you or anyone in your family ever been diagnosed with the following digestive conditions? Think only of the people you are related to by blood. Select all that apply.,43528638,Have you or anyone in your family ever been diagnosed with the following digestive conditions? Think only of the people you are related to by blood. - Diverticulitis/Diverticulosis
836797,"Including yourself, who in your family has had hyperthyroidism? Select all that apply.",43529070,"Including yourself, who in your family has had hyperthyroidism? - Mother"
836798,"Including yourself, who in your family has had hypothyroidism? Select all that apply.",43529077,"Including yourself, who in your family has had hypothyroidism? - Grandparent"
836801,"Including yourself, who in your family has had kidney stones? Select all that apply.",43529160,"Including yourself, who in your family has had kidney stones? - Father"
836805,"Including yourself, who in your family has had schizophrenia? Select all that apply.",43529783,"Including yourself, who in your family has had schizophrenia? - Father"
43529158,Have you or anyone in your family ever been diagnosed with the following kidney conditions? Think only of the people you are related to by blood. Select all that apply.,1740729,Have you or anyone in your family ever been diagnosed with the following kidney conditions? Think only of the people you are related to by blood. - Kidney disease without dialysis
1384649,About how old were you when you were first told you had other digestive condition(s)?,1385510,About how old were you when you were first told you had other digestive condition(s)? - Child (0-11)
1384394,About how old were you when you were first told you had other condition(s)?,1385064,About how old were you when you were first told you had other condition(s)? - Adolescent (12-17)
836816,"Including yourself, who in your family has had sleep apnea? Select all that apply.",43529833,"Including yourself, who in your family has had sleep apnea? - Father"
836820,"Including yourself, who in your family has had rheumatoid arthritis (RA)? Select all that apply.",43529779,"Including yourself, who in your family has had rheumatoid arthritis (RA)? - Son"
1384662,Have you ever been diagnosed with the following conditions? Select all that apply.,1384578,Have you ever been diagnosed with the following conditions? - Chickenpox
1384662,Have you ever been diagnosed with the following conditions? Select all that apply.,1384555,Have you ever been diagnosed with the following conditions? - Tuberculosis
836823,"Including yourself, who in your family has had cataracts? Select all that apply.",43528526,"Including yourself, who in your family has had cataracts? - Father"
836823,"Including yourself, who in your family has had cataracts? Select all that apply.",43528530,"Including yourself, who in your family has had cataracts? - Sibling"
1384409,Are you still seeing a doctor or health care provider for other condition(s)?,1385168,Are you still seeing a doctor or health care provider for other condition(s)? - No
836826,"Including yourself, who in your family has had macular degeneration? Select all that apply.",43529194,"Including yourself, who in your family has had macular degeneration? - Father"
836831,"Including yourself, who in your family has had colon cancer/rectal cancer? Select all that apply.",43528567,"Including yourself, who in your family has had colon cancer/rectal cancer? - Father"
836831,"Including yourself, who in your family has had colon cancer/rectal cancer? Select all that apply.",43528566,"Including yourself, who in your family has had colon cancer/rectal cancer? - Daughter"
836833,"Including yourself, who in your family has had endometrial cancer? Select all that apply.",43528648,"Including yourself, who in your family has had endometrial cancer? - Grandparent"
43530467,About how old were you when you were first told you had high cholesterol?,1384968,About how old were you when you were first told you had high cholesterol? - Child (0-11)
43530467,About how old were you when you were first told you had high cholesterol?,1385253,About how old were you when you were first told you had high cholesterol? - Adult (18-64)
836837,"Including yourself, who in your family has had peripheral vascular disease? Select all that apply.",43529704,"Including yourself, who in your family has had peripheral vascular disease? - Daughter"
43528678,Have you or anyone in your family ever been diagnosed with the following hormone and endocrine conditions? Think only of the people you are related to by blood. Select all that apply.,43529934,Have you or anyone in your family ever been diagnosed with the following hormone and endocrine conditions? Think only of the people you are related to by blood. - Type 2 diabetes
43530474,About how old were you when you were first told you had bowel obstruction?,1384842,About how old were you when you were first told you had bowel obstruction? - Adolescent (12-17)
836842,"Including yourself, who in your family has had skin condition(s) (e.g., eczema, psoriasis)? Select all that apply.",43529824,"Including yourself, who in your family has had skin condition(s) (e.g., eczema, psoriasis)? - Daughter"
43530475,About how old were you when you were first told you had colon polyps?,1385301,About how old were you when you were first told you had colon polyps? - Adult (18-64)
836845,"Including yourself, who in your family has had diverticulitis/diverticulosis? Select all that apply.",1384411,"Including yourself, who in your family has had diverticulitis/diverticulosis? - Self"
43529966,Have you or anyone in your family ever been diagnosed with the following hearing and eye conditions? Think only of the people you are related to by blood. Select all that apply.,1740982,Have you or anyone in your family ever been diagnosed with the following hearing and eye conditions? Think only of the people you are related to by blood. - Dry eyes
1384432,About how old were you when you were first told you had Lyme disease?,1385213,About how old were you when you were first told you had Lyme disease? - Adult (18-64)
43530485,About how old were you when you were first told you had ulcerative colitis?,1385504,About how old were you when you were first told you had ulcerative colitis? - Adult (18-64)
43530485,About how old were you when you were first told you had ulcerative colitis?,1384802,About how old were you when you were first told you had ulcerative colitis? - Older adult (65-74)
43530347,Are you still seeing a doctor or health care provider for HIV/AIDS?,43529371,Are you still seeing a doctor or health care provider for HIV/AIDS? - No
836774,"Including yourself, who in your family has had esophageal cancer? Select all that apply.",43530426,"Including yourself, who in your family has had esophageal cancer? - Daughter"
836819,"Including yourself, who in your family has had osteoporosis? Select all that apply.",43529617,"Including yourself, who in your family has had osteoporosis? - Son"
43530454,About how old were you when you were first told you had other cancer(s)?,1384723,About how old were you when you were first told you had other cancer(s)? - Child (0-11)
43530463,About how old were you when you were first told you had congestive heart failure?,1385274,About how old were you when you were first told you had congestive heart failure? - Adolescent (12-17)
43530530,About how old were you when you were first told you had multiple sclerosis (MS)?,1385400,About how old were you when you were first told you had multiple sclerosis (MS)? - Child (0-11)
43530536,About how old were you when you were first told you had Parkinson's disease?,1385560,About how old were you when you were first told you had Parkinson's disease? - Adolescent (12-17)
43530505,About how old were you when you were first told you had HIV/AIDS?,1384913,About how old were you when you were first told you had HIV/AIDS? - Adult (18-64)
1740555,"Including yourself, who in your family has had other heart or blood condition? Select all that apply.",1384638,"Including yourself, who in your family has had other heart or blood condition? - Self"
43530508,About how old were you when you were first told you had acute kidney disease with no current dialysis?,1384912,About how old were you when you were first told you had acute kidney disease with no current dialysis? - Older adult (65-74)
1740562,"Including yourself, who in your family has had post-traumatic stress disorder (PTSD)? Select all that apply.",1740806,"Including yourself, who in your family has had post-traumatic stress disorder (PTSD)? - Mother"
1740572,"Including yourself, who in your family has had tinnitus? Select all that apply.",43529917,"Including yourself, who in your family has had tinnitus? - Self"
1384478,Are you currently prescribed medications and/or receiving treatment for other arthritis?,1385432,Are you currently prescribed medications and/or receiving treatment for other arthritis? - No
43530527,About how old were you when you were first told you had insomnia?,1385491,About how old were you when you were first told you had insomnia? - Elderly (75+)
1384480,Are you still seeing a doctor or health care provider for a drug use disorder?,1385464,Are you still seeing a doctor or health care provider for a drug use disorder? - Yes
1384486,Are you currently prescribed medications and/or receiving treatment for autism spectrum disorder?,1385369,Are you currently prescribed medications and/or receiving treatment for autism spectrum disorder? - Yes
43529767,Have you or anyone in your family ever been diagnosed with the following lung conditions? Think only of the people you are related to by blood. Select all that apply.,43528553,"Have you or anyone in your family ever been diagnosed with the following lung conditions? Think only of the people you are related to by blood. - Chronic lung disease (COPD, emphysema or bronchitis)"
43530537,About how old were you when you were first told you had restless leg syndrome?,1384693,About how old were you when you were first told you had restless leg syndrome? - Child (0-11)
43530538,About how old were you when you were first told you had traumatic brain injury (TBI)?,1385289,About how old were you when you were first told you had traumatic brain injury (TBI)? - Older adult (65-74)
43530285,Are you still seeing a doctor or health care provider for brain cancer?,43530009,Are you still seeing a doctor or health care provider for brain cancer? - Yes
43530545,About how old were you when you were first told you had vitamin D deficiency?,1385616,About how old were you when you were first told you had vitamin D deficiency? - Adolescent (12-17)
43530290,Are you still seeing a doctor or health care provider for endometrial cancer?,43529343,Are you still seeing a doctor or health care provider for endometrial cancer? - No
1740601,"Including yourself, who in your family has had vitamin D deficiency? Select all that apply.",1740742,"Including yourself, who in your family has had vitamin D deficiency? - Daughter"
43530315,Are you still seeing a doctor or health care provider for transient ischemic attacks (TIAs or mini-strokes)?,43529563,Are you still seeing a doctor or health care provider for transient ischemic attacks (TIAs or mini-strokes)? - No
43530318,Are you still seeing a doctor or health care provider for colon polyps?,43529325,Are you still seeing a doctor or health care provider for colon polyps? - No
43530319,Are you still seeing a doctor or health care provider for Crohn's disease?,43529330,Are you still seeing a doctor or health care provider for Crohn's disease? - No
43530319,Are you still seeing a doctor or health care provider for Crohn's disease?,43530023,Are you still seeing a doctor or health care provider for Crohn's disease? - Yes
1384529,Are you currently prescribed medications and/or receiving treatment for ovarian cancer?,1385126,Are you currently prescribed medications and/or receiving treatment for ovarian cancer? - Yes
43528785,Are you currently prescribed medications and/or receiving treatment for thyroid cancer?,43529523,Are you currently prescribed medications and/or receiving treatment for thyroid cancer? - No
1740628,"Including yourself, who in your family has had cerebral palsy? Select all that apply.",1384415,"Including yourself, who in your family has had cerebral palsy? - Self"
43528796,Are you currently prescribed medications and/or receiving treatment for pulmonary embolism or deep vein thrombosis (DVT)?,43530206,Are you currently prescribed medications and/or receiving treatment for pulmonary embolism or deep vein thrombosis (DVT)? - Yes
43528797,Are you currently prescribed medications and/or receiving treatment for sickle cell disease?,43529514,Are you currently prescribed medications and/or receiving treatment for sickle cell disease? - No
43528806,Are you currently prescribed medications and/or receiving treatment for gall stones?,43529464,Are you currently prescribed medications and/or receiving treatment for gall stones? - No
43530350,Are you still seeing a doctor or health care provider for acute kidney disease with no current dialysis?,43529296,Are you still seeing a doctor or health care provider for acute kidney disease with no current dialysis? - No
43528563,Have you or anyone in your family ever been diagnosed with the following heart and blood conditions? Think only of the people you are related to by blood. Select all that apply.,1740953,Have you or anyone in your family ever been diagnosed with the following heart and blood conditions? Think only of the people you are related to by blood. - Bleeding disorder
1740659,"Including yourself, who in your family has had a personality disorder? Select all that apply.",1740711,"Including yourself, who in your family has had a personality disorder? - Father"
1740660,"Including yourself, who in your family has had attention-deficit/hyperactivity disorder (ADHD)? Select all that apply.",1740985,"Including yourself, who in your family has had attention-deficit/hyperactivity disorder (ADHD)? - Mother"
1740662,Are you still seeing a doctor or health care provider for aortic aneurysm?,1740703,Are you still seeing a doctor or health care provider for aortic aneurysm? - Yes
1384569,About how old were you when you were first told you had reactions to anesthesia (such as hyperthermia)?,1385303,About how old were you when you were first told you had reactions to anesthesia (such as hyperthermia)? - Elderly (75+)
43528828,Are you currently prescribed medications and/or receiving treatment for nearsightedness?,43529494,Are you currently prescribed medications and/or receiving treatment for nearsightedness? - No
1740668,"Including yourself, who in your family has had obesity? Select all that apply.",43529589,"Including yourself, who in your family has had obesity? - Daughter"
1740671,"Including yourself, who in your family has had concussion or loss of consciousness? Select all that apply.",1740790,"Including yourself, who in your family has had concussion or loss of consciousness? - Grandparent"
43528834,Are you currently prescribed medications and/or receiving treatment for recurrent urinary tract infections (UTI)/bladder infections?,43529531,Are you currently prescribed medications and/or receiving treatment for recurrent urinary tract infections (UTI)/bladder infections? - No
1740676,"Including yourself, who in your family has had kidney disease without dialysis? Select all that apply.",1384414,"Including yourself, who in your family has had kidney disease without dialysis? - Self"
1740676,"Including yourself, who in your family has had kidney disease without dialysis? Select all that apply.",1740789,"Including yourself, who in your family has had kidney disease without dialysis? - Mother"
1384587,"Are you currently prescribed medications and/or receiving treatment for chronic lung disease (COPD, emphysema, or bronchitis)?",1385311,"Are you currently prescribed medications and/or receiving treatment for chronic lung disease (COPD, emphysema, or bronchitis)? - Yes"
43528846,Are you currently prescribed medications and/or receiving treatment for post-traumatic stress disorder (PTSD)?,43530205,Are you currently prescribed medications and/or receiving treatment for post-traumatic stress disorder (PTSD)? - Yes
43528850,Are you currently prescribed medications and/or receiving treatment for chronic fatigue?,43529441,Are you currently prescribed medications and/or receiving treatment for chronic fatigue? - No
1384601,Are you currently prescribed medications and/or receiving treatment for a drug use disorder?,1385556,Are you currently prescribed medications and/or receiving treatment for a drug use disorder? - Yes
43530395,Are you still seeing a doctor or health care provider for gout?,43529357,Are you still seeing a doctor or health care provider for gout? - No
1384608,"Are you still seeing a doctor or health care provider for chronic lung disease (COPD, emphysema, or bronchitis)?",1385025,"Are you still seeing a doctor or health care provider for chronic lung disease (COPD, emphysema, or bronchitis)? - Yes"
836779,"Including yourself, who in your family has had pancreatic cancer? Select all that apply.",43529683,"Including yourself, who in your family has had pancreatic cancer? - Grandparent"
836780,"Including yourself, who in your family has had prostate cancer? Select all that apply.",43529733,"Including yourself, who in your family has had prostate cancer? - Self"
836783,"Including yourself, who in your family has had thyroid cancer? Select all that apply.",43529909,"Including yourself, who in your family has had thyroid cancer? - Self"
1384624,Are you currently prescribed medications and/or receiving treatment for endometriosis?,1384779,Are you currently prescribed medications and/or receiving treatment for endometriosis? - No
43528880,Are you currently prescribed medications and/or receiving treatment for gout?,43530160,Are you currently prescribed medications and/or receiving treatment for gout? - Yes
836795,"Including yourself, who in your family has had peptic (stomach) ulcers? Select all that apply.",43529700,"Including yourself, who in your family has had peptic (stomach) ulcers? - Mother"
836799,"Including yourself, who in your family has had type 1 diabetes? Select all that apply.",43529931,"Including yourself, who in your family has had type 1 diabetes? - Son"
836808,"Including yourself, who in your family has had migraine headaches? Select all that apply.",43529222,"Including yourself, who in your family has had migraine headaches? - Father"
836810,"Including yourself, who in your family has had muscular dystrophy (MD)? Select all that apply.",1384503,"Including yourself, who in your family has had muscular dystrophy (MD)? - Self"
1384398,Are you currently prescribed medications and/or receiving treatment for recurrent yeast infections?,1385549,Are you currently prescribed medications and/or receiving treatment for recurrent yeast infections? - Yes
836814,"Including yourself, who in your family has had polycystic ovarian syndrome? Select all that apply.",43529722,"Including yourself, who in your family has had polycystic ovarian syndrome? - Daughter"
43530447,About how old were you when you were first told you had endocrine cancer?,1385169,About how old were you when you were first told you had endocrine cancer? - Older adult (65-74)
836820,"Including yourself, who in your family has had rheumatoid arthritis (RA)? Select all that apply.",43529777,"Including yourself, who in your family has had rheumatoid arthritis (RA)? - Sibling"
1384661,About how old were you when you were first told you had other kidney condition(s)?,1385330,About how old were you when you were first told you had other kidney condition(s)? - Child (0-11)
43530454,About how old were you when you were first told you had other cancer(s)?,1384736,About how old were you when you were first told you had other cancer(s)? - Older adult (65-74)
836826,"Including yourself, who in your family has had macular degeneration? Select all that apply.",43529197,"Including yourself, who in your family has had macular degeneration? - Mother"
836828,"Including yourself, who in your family has had atrial fibrillation (or a-fib) or atrial flutter (or a-flutter)? Select all that apply.",43528447,"Including yourself, who in your family has had atrial fibrillation (or a-fib) or atrial flutter (or a-flutter)? - Mother"
836828,"Including yourself, who in your family has had atrial fibrillation (or a-fib) or atrial flutter (or a-flutter)? Select all that apply.",43528446,"Including yourself, who in your family has had atrial fibrillation (or a-fib) or atrial flutter (or a-flutter)? - Grandparent"
836829,"Including yourself, who in your family has had heart valve disease? Select all that apply.",43528920,"Including yourself, who in your family has had heart valve disease? - Father"
836833,"Including yourself, who in your family has had endometrial cancer? Select all that apply.",43530421,"Including yourself, who in your family has had endometrial cancer? - Daughter"
836835,"Including yourself, who in your family has had other cancer(s)? Select all that apply.",43529630,"Including yourself, who in your family has had other cancer(s)? - Sibling"
836836,"Including yourself, who in your family has had high cholesterol? Select all that apply.",43528936,"Including yourself, who in your family has had high cholesterol? - Self"
836838,Who in your family has had a kidney condition? Select all that apply.,43529144,Father Kidney Condition: Kidney Disease
836839,"Including yourself, who in your family has had a liver condition (e.g., cirrhosis)? Select all that apply.",43529178,Sibling Other Health Condition: Liver Condition
43529966,Have you or anyone in your family ever been diagnosed with the following hearing and eye conditions? Think only of the people you are related to by blood. Select all that apply.,1740952,Have you or anyone in your family ever been diagnosed with the following hearing and eye conditions? Think only of the people you are related to by blood. - Farsighted
836847,"Including yourself, who in your family has had irritable bowel syndrome (IBS)? Select all that apply.",43529127,"Including yourself, who in your family has had irritable bowel syndrome (IBS)? - Grandparent"
836852,"Including yourself, who in your family has had epilepsy or seizure? Select all that apply.",43528688,"Including yourself, who in your family has had epilepsy or seizure? - Grandparent"
836853,"Including yourself, who in your family has had narcolepsy? Select all that apply.",43529260,"Including yourself, who in your family has had narcolepsy? - Father"
836856,"Including yourself, who in your family has had other condition(s)? Select all that apply.",43529622,"Including yourself, who in your family has had other condition(s)? - Sibling"
836858,"Including yourself, who in your family has had chronic lung disease (COPD, emphysema, or bronchitis)? Select all that apply.",1384567,"Including yourself, who in your family has had chronic lung disease (COPD, emphysema, or bronchitis)? - Self"
836858,"Including yourself, who in your family has had chronic lung disease (COPD, emphysema, or bronchitis)? Select all that apply.",43528550,"Including yourself, who in your family has had chronic lung disease (COPD, emphysema, or bronchitis)? - Father"
43530492,About how old were you when you were first told you had type 2 diabetes?,1385050,About how old were you when you were first told you had type 2 diabetes? - Adult (18-64)
43530495,About how old were you when you were first told you had dry eyes?,1385538,About how old were you when you were first told you had dry eyes? - Adolescent (12-17)
43530462,About how old were you when you were first told you had a bleeding disorder?,1385072,About how old were you when you were first told you had a bleeding disorder? - Child (0-11)
43530476,About how old were you when you were first told you had Crohn's disease?,1385060,About how old were you when you were first told you had Crohn's disease? - Elderly (75+)
43530500,About how old were you when you were first told you had nearsightedness?,1385178,About how old were you when you were first told you had nearsightedness? - Elderly (75+)
1740620,"Including yourself, who in your family has had acute kidney disease with no current dialysis? Select all that apply.",1740888,"Including yourself, who in your family has had acute kidney disease with no current dialysis? - Daughter"
43530443,About how old were you when you were first told you had brain cancer?,1385146,About how old were you when you were first told you had brain cancer? - Adolescent (12-17)
43530451,"About how old were you when you were first told you had head and neck cancer? (This includes cancers of the mouth, sinuses, nose, or throat. This does not include brain cancer.)",1385192,"About how old were you when you were first told you had head and neck cancer? (This includes cancers of the mouth, sinuses, nose, or throat. This does not include brain cancer.) - Adolescent (12-17)"
1384637,About how old were you when you were first told you had chickenpox?,1385563,About how old were you when you were first told you had chickenpox? - Elderly (75+)
43530469,About how old were you when you were first told you had pulmonary embolism or deep vein thrombosis (DVT)?,1385514,About how old were you when you were first told you had pulmonary embolism or deep vein thrombosis (DVT)? - Child (0-11)
1384459,Are you still seeing a doctor or health care provider for Zika virus?,1385394,Are you still seeing a doctor or health care provider for Zika virus? - Yes
1384448,About how old were you when you were first told you had peripheral vascular disease?,1385503,About how old were you when you were first told you had peripheral vascular disease? - Older adult (65-74)
43530499,About how old were you when you were first told you had macular degeneration?,1385422,About how old were you when you were first told you had macular degeneration? - Adult (18-64)
1384460,Are you still seeing a doctor or health care provider for other digestive condition(s)?,1384957,Are you still seeing a doctor or health care provider for other digestive condition(s)? - No
1740558,"Including yourself, who in your family has had other brain or nervous system condition(s)? Select all that apply.",1740980,"Including yourself, who in your family has had other brain or nervous system condition(s)? - Sibling"
43530511,About how old were you when you were first told you had kidney disease without dialysis?,1385279,About how old were you when you were first told you had kidney disease without dialysis? - Older adult (65-74)
43530514,About how old were you when you were first told you had anxiety reaction/panic disorder?,1384714,About how old were you when you were first told you had anxiety reaction/panic disorder? - Child (0-11)
43530515,About how old were you when you were first told you had bipolar disorder?,1385292,About how old were you when you were first told you had bipolar disorder? - Child (0-11)
43530518,About how old were you when you were first told you had a personality disorder?,1385625,About how old were you when you were first told you had a personality disorder? - Adult (18-64)
1384476,Are you currently prescribed medications and/or receiving treatment for other lung condition(s)?,1384935,Are you currently prescribed medications and/or receiving treatment for other lung condition(s)? - Yes
1740576,"Including yourself, who in your family has had spinal cord injury or impairment? Select all that apply.",1384577,"Including yourself, who in your family has had spinal cord injury or impairment? - Self"
43530529,About how old were you when you were first told you had migraine headaches?,1385310,About how old were you when you were first told you had migraine headaches? - Child (0-11)
43529767,Have you or anyone in your family ever been diagnosed with the following lung conditions? Think only of the people you are related to by blood. Select all that apply.,1740880,Have you or anyone in your family ever been diagnosed with the following lung conditions? Think only of the people you are related to by blood. - Other lung condition
1384490,Are you still seeing a doctor or health care provider for alcohol use disorder?,43529992,Are you still seeing a doctor or health care provider for alcohol use disorder? - Yes
43530540,About how old were you when you were first told you had allergies?,1384804,About how old were you when you were first told you had allergies? - Child (0-11)
1740588,"Including yourself, who in your family has had other/unknown thyroid condition? Select all that apply.",43529676,"Including yourself, who in your family has had other/unknown thyroid condition? - Self"
43530543,"About how old were you when you were first told you had a skin condition(s) (e.g., eczema, psoriasis)?",1385114,"About how old were you when you were first told you had a skin condition(s) (e.g., eczema, psoriasis)? - Elderly (75+)"
43530546,About how old were you when you were first told you had asthma?,1384744,About how old were you when you were first told you had asthma? - Child (0-11)
43529272,Have you or anyone in your family ever been diagnosed with the following brain and nervous system conditions? Think only of the people you are related to by blood. Select all that apply.,836761,Have you or anyone in your family ever been diagnosed with the following brain and nervous system conditions? Think only of the people you are related to by blood. - Neuropathy
43529272,Have you or anyone in your family ever been diagnosed with the following brain and nervous system conditions? Think only of the people you are related to by blood. Select all that apply.,43529691,Have you or anyone in your family ever been diagnosed with the following brain and nervous system conditions? Think only of the people you are related to by blood. - Parkinson's disease
43530552,About how old were you when you were first told you had fractured/broken bones?,1385173,About how old were you when you were first told you had fractured/broken bones? - Older adult (65-74)
1740601,"Including yourself, who in your family has had vitamin D deficiency? Select all that apply.",1740726,"Including yourself, who in your family has had vitamin D deficiency? - Mother"
43530305,Are you still seeing a doctor or health care provider for congestive heart failure?,43530021,Are you still seeing a doctor or health care provider for congestive heart failure? - Yes
43528515,Have you or anyone in your family ever been diagnosed with the following cancer conditions? Think only of the people you are related to by blood. Select all that apply.,836744,Have you or anyone in your family ever been diagnosed with the following cancer conditions? Think only of the people you are related to by blood. - Endocrine cancer
43528786,Are you currently prescribed medications and/or receiving treatment for anemia?,43529424,Are you currently prescribed medications and/or receiving treatment for anemia? - No
1740629,"Including yourself, who in your family has had an enlarged prostate? Select all that apply.",1740797,"Including yourself, who in your family has had an enlarged prostate? - Sibling"
1740630,"Including yourself, who in your family has had other digestive condition? Select all that apply.",1740937,"Including yourself, who in your family has had other digestive condition? - Sibling"
43528795,Are you currently prescribed medications and/or receiving treatment for peripheral vascular disease?,43529506,Are you currently prescribed medications and/or receiving treatment for peripheral vascular disease? - No
43528563,Have you or anyone in your family ever been diagnosed with the following heart and blood conditions? Think only of the people you are related to by blood. Select all that apply.,903087,PMI: Dont Know
43528563,Have you or anyone in your family ever been diagnosed with the following heart and blood conditions? Think only of the people you are related to by blood. Select all that apply.,836752,Have you or anyone in your family ever been diagnosed with the following heart and blood conditions? Think only of the people you are related to by blood. - Peripheral vascular disease
43528563,Have you or anyone in your family ever been diagnosed with the following heart and blood conditions? Think only of the people you are related to by blood. Select all that apply.,43528928,Have you or anyone in your family ever been diagnosed with the following heart and blood conditions? Think only of the people you are related to by blood. - High blood pressure (Hypertension)
1740664,"Including yourself, who in your family has had other bone, joint, or muscle condition(s)? Select all that apply.",1740725,"Including yourself, who in your family has had other bone, joint, or muscle condition(s)? - Son"
1740664,"Including yourself, who in your family has had other bone, joint, or muscle condition(s)? Select all that apply.",1384471,"Including yourself, who in your family has had other bone, joint, or muscle condition(s)? - Self"
1384569,About how old were you when you were first told you had reactions to anesthesia (such as hyperthermia)?,1384676,About how old were you when you were first told you had reactions to anesthesia (such as hyperthermia)? - Child (0-11)
1740668,"Including yourself, who in your family has had obesity? Select all that apply.",43529595,"Including yourself, who in your family has had obesity? - Sibling"
43530367,"Are you still seeing a doctor or health care provider for dementia (includes Alzheimer's, vascular, etc.)?",43529334,"Are you still seeing a doctor or health care provider for dementia (includes Alzheimer's, vascular, etc.)? - No"
43530378,Are you still seeing a doctor or health care provider for restless leg syndrome?,43529415,Are you still seeing a doctor or health care provider for restless leg syndrome? - No
43530390,Are you still seeing a doctor or health care provider for sleep apnea?,43530234,Are you still seeing a doctor or health care provider for sleep apnea? - Yes
43530394,Are you still seeing a doctor or health care provider for fractured/broken bones?,43529354,Are you still seeing a doctor or health care provider for fractured/broken bones? - No
43528859,Are you currently prescribed medications and/or receiving treatment for narcolepsy?,43529493,Are you currently prescribed medications and/or receiving treatment for narcolepsy? - No
836769,"Including yourself, who in your family has had blood or soft tissue cancer? Select all that apply.",43530273,"Including yourself, who in your family has had blood or soft tissue cancer? - Father"
43528867,Are you currently prescribed medications and/or receiving treatment for allergies?,43530116,Are you currently prescribed medications and/or receiving treatment for allergies? - Yes
1384612,Are you currently prescribed medications and/or receiving treatment for other kidney condition(s)?,1384810,Are you currently prescribed medications and/or receiving treatment for other kidney condition(s)? - Yes
1384617,Are you still seeing a doctor or health care provider for osteoarthritis?,1385200,Are you still seeing a doctor or health care provider for osteoarthritis? - No
836795,"Including yourself, who in your family has had peptic (stomach) ulcers? Select all that apply.",43529702,"Including yourself, who in your family has had peptic (stomach) ulcers? - Son"
